,score,x,y
0,0.8607935504965667,-0.17453292519943295,-20.0
1,0.9394529627625445,-0.003046174197867086,-10.0
2,0.9402826649560909,-5.3165769342077875e-05,0.0
3,0.9402881094692234,-9.279177243751184e-07,10.0
4,0.9406062902430747,-1.6195219477959057e-08,20.0
5,0.939275472639326,0.0,-20.0
6,0.9396006401871928,0.0,-10.0
7,0.94030279358569,0.0,0.0
8,0.9402886797018946,0.0,10.0
9,0.9406062902430747,0.0,20.0
10,0.86574866657232,0.17453292519943295,-20.0
11,0.9373734368101974,0.003046174197867086,-10.0
12,0.9402122313307121,5.3165769342077875e-05,0.0
13,0.9402886797018946,9.279177243751184e-07,10.0
14,0.9406062902430747,1.6195219477959057e-08,20.0
