,x,y,score
0,-80.0,-80.0,0.8769947394804811
1,-80.0,-60.0,0.8871423150314237
2,-80.0,-40.0,0.898267067392348
3,-80.0,-20.0,0.9042529093747228
4,-80.0,0.0,0.9087555717001295
5,-80.0,20.0,0.9094896055774014
6,-80.0,40.0,0.9087875160598851
7,-80.0,60.0,0.9079737056345196
8,-80.0,80.0,0.9069415214169272
9,-60.0,-80.0,0.8767657620407996
10,-60.0,-60.0,0.887122646455316
11,-60.0,-40.0,0.8986690287931633
12,-60.0,-20.0,0.9047896792647083
13,-60.0,0.0,0.9093836917113312
14,-60.0,20.0,0.9095981216330487
15,-60.0,40.0,0.9091454949814854
16,-60.0,60.0,0.9081664033556145
17,-60.0,80.0,0.9070020906377165
18,-40.0,-80.0,0.8771164442249471
19,-40.0,-60.0,0.8872231498240852
20,-40.0,-40.0,0.899026571103199
21,-40.0,-20.0,0.9053413605252011
22,-40.0,0.0,0.9101358106017445
23,-40.0,20.0,0.9100864548634873
24,-40.0,40.0,0.9095220152513904
25,-40.0,60.0,0.9086562878044
26,-40.0,80.0,0.9075072746113355
27,-20.0,-80.0,0.8768382722159969
28,-20.0,-60.0,0.8868944000078844
29,-20.0,-40.0,0.8991310561813559
30,-20.0,-20.0,0.9058509913434915
31,-20.0,0.0,0.9106626197899563
32,-20.0,20.0,0.9105218557434508
33,-20.0,40.0,0.9101383182047945
34,-20.0,60.0,0.9092726489260612
35,-20.0,80.0,0.9082422986102512
36,0.0,-80.0,0.8772182187645399
37,0.0,-60.0,0.8874547418538057
38,0.0,-40.0,0.8997751909479758
39,0.0,-20.0,0.9063719752748136
40,0.0,0.0,0.9110984182014761
41,0.0,20.0,0.9111236357453061
42,0.0,40.0,0.9106833124677034
43,0.0,60.0,0.9095744131363326
44,0.0,80.0,0.9089055864597027
45,20.0,-80.0,0.8766782789692796
46,20.0,-60.0,0.886810000598685
47,20.0,-40.0,0.8992741819164318
48,20.0,-20.0,0.9057419363455099
49,20.0,0.0,0.9106452041270978
50,20.0,20.0,0.9109726251462695
51,20.0,40.0,0.9103486883013802
52,20.0,60.0,0.9096131167769718
53,20.0,80.0,0.9091314485520874
54,40.0,-80.0,0.8768945710582847
55,40.0,-60.0,0.8868021160773476
56,40.0,-40.0,0.8990831681409345
57,40.0,-20.0,0.9052004501526414
58,40.0,0.0,0.910711209914612
59,40.0,20.0,0.9107651548187705
60,40.0,40.0,0.9103461734285984
61,40.0,60.0,0.9095424237050008
62,40.0,80.0,0.9090328844616428
63,60.0,-80.0,0.8756854210041305
64,60.0,-60.0,0.8856576922984051
65,60.0,-40.0,0.8980296659344129
66,60.0,-20.0,0.9042780346023639
67,60.0,0.0,0.9101091579718585
68,60.0,20.0,0.9102474917030863
69,60.0,40.0,0.9099869784143524
70,60.0,60.0,0.9091857536442374
71,60.0,80.0,0.9085191817356042
72,80.0,-80.0,0.875552676827551
73,80.0,-60.0,0.8856093684802305
74,80.0,-40.0,0.8978910180264292
75,80.0,-20.0,0.903771801268576
76,80.0,0.0,0.9093847405737768
77,80.0,20.0,0.9098603435342021
78,80.0,40.0,0.909715171087746
79,80.0,60.0,0.9088964411877518
80,80.0,80.0,0.9081911983936098
