,score,x,y
0,-0.12975404311581307,-20.0,-40.0
1,-0.13205895383558275,0.0,-40.0
2,-0.13440388040774287,20.0,-40.0
3,-0.12984554951858707,-20.0,-20.0
4,-0.13269388814280547,0.0,-20.0
5,-0.1347137078170133,20.0,-20.0
6,-0.13021756779001392,-20.0,0.0
7,-0.132446362917908,0.0,0.0
8,-0.13437090777388183,20.0,0.0
9,-0.12987998734651596,-20.0,20.0
10,-0.13240858042660575,0.0,20.0
11,-0.13419462387725045,20.0,20.0
12,-0.1298844664467953,-20.0,40.0
13,-0.1320158098479488,0.0,40.0
14,-0.13376635176271867,20.0,40.0
